timestamp,task,trail,label
48408,BA_POINT,0,none
48438,BA_POINT,0,none
48475,BA_POINT,0,none
48507,BA_POINT,0,none
48540,BA_POINT,0,none
48575,BA_POINT,0,none
48607,BA_POINT,0,none
48641,BA_POINT,0,none
48674,BA_POINT,0,none
48709,BA_POINT,0,none
48742,BA_POINT,0,none
48775,BA_POINT,0,none
48807,BA_POINT,0,none
48840,BA_POINT,0,none
48875,BA_POINT,0,none
48908,BA_POINT,0,none
48942,BA_POINT,0,none
48975,BA_POINT,0,none
49009,BA_POINT,0,none
49041,BA_POINT,0,none
49074,BA_POINT,0,none
49107,BA_POINT,0,none
49141,BA_POINT,0,none
49176,BA_POINT,0,none
49207,BA_POINT,0,none
49242,BA_POINT,0,none
49274,BA_POINT,0,none
49308,BA_POINT,0,none
49340,BA_POINT,0,none
49374,BA_POINT,0,none
49407,BA_POINT,0,none
49441,BA_POINT,0,none
49475,BA_POINT,0,none
49508,BA_POINT,0,none
49541,BA_POINT,0,none
49574,BA_POINT,0,none
49606,BA_POINT,0,none
49638,BA_POINT,0,none
49674,BA_POINT,0,none
49706,BA_POINT,0,none
49738,BA_POINT,0,none
49769,BA_POINT,0,none
49802,BA_POINT,0,none
49836,BA_POINT,0,none
49872,BA_POINT,0,none
49903,BA_POINT,0,none
49941,BA_POINT,0,none
49973,BA_POINT,0,none
50006,BA_POINT,0,none
50040,BA_POINT,0,none
50073,BA_POINT,0,none
50107,BA_POINT,0,none
50140,BA_POINT,0,none
50175,BA_POINT,0,none
50207,BA_POINT,0,none
50239,BA_POINT,0,none
50271,BA_POINT,0,none
50307,BA_POINT,0,none
50340,BA_POINT,0,none
50374,BA_POINT,0,none
50407,BA_POINT,0,none
50439,BA_POINT,0,none
50474,BA_POINT,0,none
50505,BA_POINT,0,none
50540,BA_POINT,0,none
50573,BA_POINT,0,none
50607,BA_POINT,0,none
50641,BA_POINT,0,none
50674,BA_POINT,0,none
50707,BA_POINT,0,none
50737,BA_POINT,0,none
50770,BA_POINT,0,none
50803,BA_POINT,0,none
50837,BA_POINT,0,none
50870,BA_POINT,0,none
50904,BA_POINT,0,none
50937,BA_POINT,0,none
50970,BA_POINT,0,none
51003,BA_POINT,0,none
51037,BA_POINT,0,none
51071,BA_POINT,0,none
51104,BA_POINT,0,none
52006,BA_POINT,1,none
52041,BA_POINT,1,none
52074,BA_POINT,1,none
52106,BA_POINT,1,none
52141,BA_POINT,1,none
52174,BA_POINT,1,none
52209,BA_POINT,1,none
52239,BA_POINT,1,none
52275,BA_POINT,1,none
52308,BA_POINT,1,none
52338,BA_POINT,1,none
52374,BA_POINT,1,none
52406,BA_POINT,1,none
52441,BA_POINT,1,none
52473,BA_POINT,1,none
52507,BA_POINT,1,none
52542,BA_POINT,1,none
52574,BA_POINT,1,none
52608,BA_POINT,1,none
52640,BA_POINT,1,none
52673,BA_POINT,1,none
52708,BA_POINT,1,none
52740,BA_POINT,1,none
52776,BA_POINT,1,none
52807,BA_POINT,1,none
52842,BA_POINT,1,none
52874,BA_POINT,1,none
52908,BA_POINT,1,none
52941,BA_POINT,1,none
